iR33,dir,file,fileDate,targ,zaTarg,proj,year,author1,Source,Reaction,dataType,x4,Emin,Emax,Egamma,Units,Theta,nData
709,c2a,c2ap0e,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11246.0,17843.0,"",mb,70,16
710,c2a,c2ap0f,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11409.0,18144.0,"",mb,80,16
711,c2a,c2ap0g,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11351.0,18091.0,"",mb,91,16
712,c2a,c2ap0h,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11263.0,17988.0,"",mb,101,16
713,c2a,c2ap0i,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11187.0,17948.0,"",mb,110,16
714,c2a,c2ap0j,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11189.0,17833.0,"",mb,120,16
715,c2a,c2ap0k,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11485.0,18248.0,"",mb,131,16
716,c2a,c2ap0l,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11349.0,16873.0,"",mb,141,13
717,c2a,c2ap0m,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",11779.0,17878.0,"",mb,147,15
718,c2a,c2ap0n,2007-10-31T00:00:00,12C,6012,a,1971,N.S.Zelenskaya,"N.S. Zelenskaya et al. Izvestiya Academii Nauk v.35 (1971) 193","12C(a,p0)15N","NRA","F0897002",13237.0,17123.0,"",mb,160,10
719,c2d,c2dd0$1,2011-09-02T14:53:00,12C,6012,d,1960,E.Kashy,"E.Kashy+(1960), Jour. Physical Review, Vol.117, p.1289","12C(d,d0)12C","EBS","C1007002",518.0,1450.0,"",mb,165,52
720,c2d,c2dd0$2,2011-09-02T14:54:00,12C,6012,d,1960,E.Kashy,"E.Kashy+(1960), Jour. Physical Review, Vol.117, p.1289","12C(d,d0)12C","EBS","C1007002",627.0,1450.0,"",mb,116.7,41
721,c2d,c2dd0$3,2011-09-02T14:58:00,12C,6012,d,1956,M.T.Mcellistrem,"M.T.Mcellistrem+(1956), Jour. Physical Review, Vol.104, p.1008","12C(d,d0)12C","EBS","C0993002",2451.0,3458.0,"",mb,167.2,130
722,c2d,c2dd0$4,2011-09-02T14:58:00,12C,6012,d,1956,M.T.Mcellistrem,"M.T.Mcellistrem+(1956), Jour. Physical Review, Vol.104, p.1008","12C(d,d0)12C","EBS","C0993002",2477.0,2889.0,"",mb,136.5,37
723,c2d,c2dd0$5,2011-09-02T14:59:00,12C,6012,d,1956,M.T.Mcellistrem,"M.T.Mcellistrem+(1956), Jour. Physical Review, Vol.104, p.1008","12C(d,d0)12C","EBS","C0993002",2448.0,3182.0,"",mb,116.2,77
724,c2d,c2dd0$6,2011-09-02T14:59:00,12C,6012,d,1956,M.T.Mcellistrem,"M.T.Mcellistrem+(1956), Jour. Physical Review, Vol.104, p.1008","12C(d,d0)12C","EBS","C0993002",2990.0,3223.0,"",mb,100.6,10
725,c2d,c2dd0a,2006-06-23T00:00:00,12C,6012,d,1966,H.J.Kim,"H.J.Kim,W.T.Milner and F.K.McGowan Nuclear Data Tables v.A2 (1966) 353","12C(d,d0)12C","EBS","",2440.0,3410.0,"",mb,167.2,104
726,c2d,c2dd0aa,2014-03-11T11:49:48,12C,6012,d,0,L.Csedreki,"L. Csedreki et al., Nucl. Instr. & Meth., accepted for publication.","12C(d,d0)12C","EBS","",740.0,2000.0,"",mb,135,141
727,c2d,c2dd0b,2006-06-23T00:00:00,12C,6012,d,1966,H.J.Kim,"H.J.Kim,W.T.Milner and F.K.McGowan Nuclear Data Tables v.A2 (1966) 353","12C(d,d0)12C","EBS","",510.0,1450.0,"",mb,165,45
728,c2d,c2dd0c,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,145,45
729,c2d,c2dd0d,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,150,45
730,c2d,c2dd0e,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,155,45
731,c2d,c2dd0f,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,160,45
732,c2d,c2dd0g,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,165,45
733,c2d,c2dd0h,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 81","12C(d,d0)12C","EBS","D0367002",897.0,1999.0,"",mb,170,45
734,c2d,c2dd0i,2007-11-16T00:00:00,12C,6012,d,1971,V.I.Borovlev,"V.I.Borovlev et al. Yadernaya Fizika v.14 (1971) 47","12C(d,d0)12C","EBS","F0915003",1856.2,2991.5,"",ru,70,36
735,c2d,c2dd0j,2007-11-16T00:00:00,12C,6012,d,1971,V.I.Borovlev,"V.I.Borovlev et al. Yadernaya Fizika v.14 (1971) 47","12C(d,d0)12C","EBS","F0915003",1964.1,2997.4001,"",ru,90,33
736,c2d,c2dd0k,2009-03-23T00:00:00,12C,6012,d,1963,G.G.Ohlsen,"G.G.Ohlsen et al. Nuclear Physics v.45 (1963) 523","12C(d,d0)12C","EBS","F1049002",3051.8,11949.0,"",mb,165,184
737,c2d,c2dd0l,2009-02-25T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,d0)12C","EBS","F1044004",935.62,4990.6,"",ru,143.5,260
738,c2d,c2dd0m,2009-10-02T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,d0)12C","EBS","F1044004",930.91,5046.1997,"",ru,155,281
739,c2d,c2dd0n,2009-09-16T00:00:00,12C,6012,d,1969,H.Cords,"H.Cords et al. Nuclear Physics A v.127 (1969) 95","12C(d,d0)12C","EBS","F1065002",5013.9,9983.0,"",rr,70,176
740,c2d,c2dd0o,2009-09-16T00:00:00,12C,6012,d,1969,H.Cords,"H.Cords et al. Nuclear Physics A v.127 (1969) 95","12C(d,d0)12C","EBS","F1065002",5013.8003,10016.0,"",rr,90,199
741,c2d,c2dd0p,2009-09-16T00:00:00,12C,6012,d,1969,H.Cords,"H.Cords et al. Nuclear Physics A v.127 (1969) 95","12C(d,d0)12C","EBS","F1065003",5024.3003,8973.899,"",rr,120,141
742,c2d,c2dd0q,2009-09-16T00:00:00,12C,6012,d,1969,H.Cords,"H.Cords et al. Nuclear Physics A v.127 (1969) 95","12C(d,d0)12C","EBS","F1065003",5019.6,9019.9,"",rr,140,128
743,c2d,c2dd0r,2009-09-16T00:00:00,12C,6012,d,1969,H.Cords,"H.Cords et al. Nuclear Physics A v.127 (1969) 95","12C(d,d0)12C","EBS","F1065003",5034.6997,9179.5,"",rr,160,144
744,c2d,c2dd0s,2010-01-12T00:00:00,12C,6012,d,1966,D.G.Gerke,"D.G. Gerke et al. Nuclear Physics v.75 (1966) 609","12C(d,d0)12C","EBS","F1090002",2601.7,4001.8,"",mb,90,76
745,c2d,c2dd0t,2010-03-31T00:00:00,12C,6012,d,1968,R.L.A.Cottrell,"R.L.A. Cottrell et al. Nuclear Physics A 109 (1968) 288","12C(d,d0)12C","EBS","F1077003",4480.3,5695.7,"",mb,70,21
746,c2d,c2dd0u,2010-03-31T00:00:00,12C,6012,d,1968,R.L.A.Cottrell,"R.L.A. Cottrell et al. Nuclear Physics A 109 (1968) 288","12C(d,d0)12C","EBS","F1077003",4489.9,5569.8,"",mb,150,19
747,c2d,c2dp0$1,2011-08-16T11:49:00,12C,6012,d,1977,G.Debras,"G.Debras+(1977), Jour. Journal of Radioanalytical Chemistry, Vol.38, p.193","12C(d,p0)13C","NRA","D0144003",527.78,2956.7,"",mb,135,124
748,c2d,c2dp0$2,2011-09-02T15:04:00,12C,6012,d,1986,I.Ya.Barrit,"I.Ya.Barrit+(1986), Jour. Kratkie Soobshcheniya po Fizike, Vol.7, p.29","12C(d,p0)13C","NRA","F0840002",821.6,1505.5,"",mb,165,108
749,c2d,c2dp0a,2006-06-23T00:00:00,12C,6012,d,1982,V.G.Balin,"V.G.Balin, A.F.Gurbich and V.S.Shorin Preprint FEI-1341, Obninsk (1982)","12C(d,p0)13C","NRA","D0108002",500.0,2160.0,"",mb,165,44
750,c2d,c2dp0b,2006-06-23T00:00:00,12C,6012,d,1957,N.Jarmie,"N.Jarmie and J.D.Seagrove Los Alamos Report LA-2014 (1957)","12C(d,p0)13C","NRA","",840.0,1540.0,"",mb,150,63
751,c2d,c2dp0c,2006-06-23T00:00:00,12C,6012,d,1956,M.T.McEllistrem,"M.T.McEllistrem Phys.Rev. v.104 (1956) 1008","12C(d,p0)13C","NRA","",2450.0,3170.0,"",mb,168.7,85
752,c2d,c2dp0d,2014-03-11T11:50:40,12C,6012,d,0,L.Csedreki,"L. Csedreki et al., Nucl. Instr. & Meth., accepted for publication.","12C(d,p0)13C","NRA","",740.0,2000.0,"",mb,135,119
753,c2d,c2dp0e,2006-06-23T00:00:00,12C,6012,d,1993,V.Quillet,"V.Quillet et al. Nucl.Instrum. & Meth. v.B83 (1993) 47","12C(d,p0)13C","NRA","O0817006",968.0,968.0,"",mb,150,1
754,c2d,c2dp0f,2006-06-23T00:00:00,12C,6012,d,1979,R.A.Jarjis,"R.A.Jarjis, Int.Rep., U. of Manchester(1979)","12C(d,p0)13C","NRA","",520.0,2960.0,"",mb,135,123
755,c2d,c2dp0g,2006-06-23T00:00:00,12C,6012,d,1960,E.Kashy,"E.Kashy,R.R.Perry and J.R.Risser, Phys.Rev., 117(1960), 1289","12C(d,p0)13C","NRA","C1007003",802.0,1956.0,"",mb,165,58
756,c2d,c2dp0h,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,135,45
757,c2d,c2dp0i,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,140,45
758,c2d,c2dp0k,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,145,45
759,c2d,c2dp0l,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,150,45
760,c2d,c2dp0m,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,155,45
761,c2d,c2dp0n,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,160,45
762,c2d,c2dp0o,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,165,45
763,c2d,c2dp0p,2007-11-08T00:00:00,12C,6012,d,2006,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B249 (2006) 77","12C(d,p0)13C","NRA","D0368002",897.0,1999.0,"",mb,170,45
764,c2d,c2dp0r,2006-06-23T00:00:00,12C,6012,d,1991,W.N.Lennard,"W.N.Lennard et al. Nucl. Instr. and Meth. B61 (1991) 1","12C(d,p0)13C","NRA","C1515002",735.0,1182.0,"",mb,150,31
765,c2d,c2dp0s,2006-06-23T00:00:00,12C,6012,d,1960,E.Kashy,"E.Kashy, R.R.Perry and J.R.Risser, Phys.Rev. 117 (1960) 1289","12C(d,p0)13C","NRA","C1007003",749.0,1983.0,"",mb,158.4,62
766,c2d,c2dp0t,2006-06-23T00:00:00,12C,6012,d,1956,M.T.McEllistrem,"M.T. McEllistrem et al., Phys.Rev. 104 (1956) 1008","12C(d,p0)13C","NRA","C0993006",1867.0,3513.0,"",mb,160,62
767,c2d,c2dp0u,2006-06-23T00:00:00,12C,6012,d,2005,W.Jiang,"W. Jiang et al., Nucl. Instr. and Meth. B 227 (2005) 450","12C(d,p0)13C","NRA","",779.0,1080.0,"",mb,150,63
768,c2d,c2dp0v,2006-06-23T00:00:00,12C,6012,d,1980,J.A.Davies,"J.A. Davies, P.R. Norton, Nucl. Instr. and Meth. 168 (1980) 611","12C(d,p0)13C","NRA","C1537003",970.0,970.0,"",mb,150,1
769,c2d,c2dp0w,2010-09-27T00:00:00,12C,6012,d,2008,Jose A. R.Pacheco de Carvalho,"Jose A. R. Pacheco de Carvalho, Nucl. Instr. and Meth. B266 (2008) 2263","12C(d,p0)13C","NRA","D0199002",810.0,2073.0,"",mb,135,77
770,c2d,c2dp0x,2010-09-27T00:00:00,12C,6012,d,2008,Jose A. R.Pacheco de Carvalho,"Jose A. R. Pacheco de Carvalho, Nucl. Instr. and Meth. B266 (2008) 2263","12C(d,p0)13C","NRA","D0199002",810.0,2073.0,"",mb,165,77
771,c2d,c2dp0y,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3246.0999,4351.9,"",mb,70,35
772,c2d,c2dp0z,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3231.4,4344.8,"",mb,80,32
773,c2d,c2dp0_a,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",1663.4,5960.1,"",mb,90,120
774,c2d,c2dp0_b,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3245.4,4352.2,"",mb,100,31
775,c2d,c2dp0_c,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3249.0,4362.1997,"",mb,110,34
776,c2d,c2dp0_d,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3217.5,4351.5,"",mb,120,36
777,c2d,c2dp0_e,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3229.0,4367.0996,"",mb,130,33
778,c2d,c2dp0_f,2008-06-03T00:00:00,12C,6012,d,1956,T.W.Bonner,"T.W.Bonner et al. Physical Review  v.101 (1956) 209","12C(d,p0)13C","NRA","F0985002",3211.0,4333.3003,"",mb,150,20
779,c2d,c2dp0_g,2009-01-13T00:00:00,12C,6012,d,1966,A.P.Klyucharev,"A.P. Klyucharev et al. Izvestiya Akademii Nauk v.30 (1966) 224","12C(d,p0)13C","NRA","F1009002",886.66,1790.4,"",mb,165,18
780,c2d,c2dp0_h,2009-01-13T00:00:00,12C,6012,d,1966,A.P.Klyucharev,"A.P. Klyucharev et al. Izvestiya Akademii Nauk v.30 (1966) 224","12C(d,p0)13C","NRA","F1009002",884.72003,1792.6,"",mb,90,18
781,c2d,c2dp0_i,2009-02-25T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,p0)13C","NRA","F1044002",926.15,3789.3,"",ru,143.5,227
782,c2d,c2dp0_j,2009-02-25T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,p0)13C","NRA","F1044002",929.72,3585.3,"",ru,155,183
783,c2d,c2dp0_k,2010-01-12T00:00:00,12C,6012,d,1966,D.G.Gerke,"D.G. Gerke et al. Nuclear Physics v.75 (1966) 609","12C(d,p0)13C","NRA","F1090003",2605.2,4006.1,"",mb,90,76
784,c2d,c2dp0_l,2014-03-11T12:22:37,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p0)13C","NRA","D0679003",1038.0,1959.0,"",mb,132.4,81
785,c2d,c2dp0_m,2014-03-11T12:21:10,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p0)13C","NRA","D0679003",1010.0,1973.0,"",mb,144,66
786,c2d,c2dp0_n,2014-03-11T12:20:08,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p0)13C","NRA","D0679003",1044.0,1977.0,"",mb,162,67
787,c2d,c2dp0_o,2011-09-13T12:04:00,12C,6012,d,1972,M.Huez,"M.Huez, L.Quaglia, G.Weber, Nucl. Instr. Meth. 105 (1972) 197","12C(d,p0)13C","NRA","O2051002",390.0,1355.0,"",mb,150,56
788,c2d,c2dp0_p,2011-09-13T12:08:00,12C,6012,d,1972,M.Huez,"M.Huez, L.Quaglia, G.Weber, Nucl. Instr. Meth. 105 (1972) 197","12C(d,p0)13C","NRA","O2051002",390.0,1355.0,"",mb,160,20
789,c2d,c2dp0_q,2011-09-13T12:15:00,12C,6012,d,1972,M.Huez,"M.Huez, L.Quaglia, G.Weber, Nucl. Instr. Meth. 105 (1972) 197","12C(d,p0)13C","NRA","O2051002",390.0,1355.0,"",mb,140,20
790,c2d,c2dp0_r,2011-09-13T12:12:00,12C,6012,d,1972,M.Huez,"M.Huez, L.Quaglia, G.Weber, Nucl. Instr. Meth. 105 (1972) 197","12C(d,p0)13C","NRA","O2051002",390.0,1355.0,"",mb,130,20
791,c2d,c2dp1$1,2011-09-02T15:18:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1070.0,2088.0,"",mb,167,10
792,c2d,c2dp1$10,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1070.0,2088.0,"",mb,126.6,10
793,c2d,c2dp1$11,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,122.3,10
794,c2d,c2dp1$12,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,1890.0,"",mb,118.2,6
795,c2d,c2dp1$13,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,116,6
796,c2d,c2dp1$14,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1070.0,2088.0,"",mb,112.1,10
797,c2d,c2dp1$15,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,1890.0,"",mb,108.1,7
798,c2d,c2dp1$16,2011-09-02T15:20:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,92.6,10
799,c2d,c2dp1$2,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1320.0,2088.0,"",mb,162.8,8
800,c2d,c2dp1$3,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1070.0,2088.0,"",mb,158,10
801,c2d,c2dp1$4,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,154.2,10
802,c2d,c2dp1$5,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,149.2,11
803,c2d,c2dp1$6,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,145,11
804,c2d,c2dp1$7,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,140.4,11
805,c2d,c2dp1$8,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",900.0,2088.0,"",mb,136.1,11
806,c2d,c2dp1$9,2011-09-02T15:19:00,12C,6012,d,1967,R.V.Poore,"R.V.Poore+(1967), Jour. Nuclear Physics, Section A, Vol.92, p.97","12C(d,p1)13C","NRA","F0334002",1070.0,1890.0,"",mb,131.7,5
807,c2d,c2dp1a,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,145,44
808,c2d,c2dp1b,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,150,45
809,c2d,c2dp1c,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,155,45
810,c2d,c2dp1d,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,160,45
811,c2d,c2dp1e,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,165,45
812,c2d,c2dp1f,2007-11-08T00:00:00,12C,6012,d,2007,M.Kokkoris,"M.Kokkoris et al., Nucl. Instr. and Meth. B254 (2007) 10","12C(d,p1)13C","NRA","D0398002",897.0,1999.0,"",mb,170,44
813,c2d,c2dp1g,2007-11-12T00:00:00,12C,6012,d,1971,V.I.Borovlev,"V.I.Borovlev et al. Izvestiya Academii Nauk v.35 (1971) 1670","12C(d,p1)13C","NRA","F0916004",1957.2001,3002.7002,"",ru,90,32
814,c2d,c2dp1h,2009-02-25T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,p1)13C","NRA","F1044003",1084.2001,4990.0,"",ru,143.5,246
815,c2d,c2dp1i,2009-10-02T00:00:00,12C,6012,d,1963,J.M.F.Jeronymo,"J.M.F.Jeronymo et al. Nuclear Physics  v.43 (1963) 417","12C(d,p1)13C","NRA","F1044003",1103.0,4989.6997,"",ru,155,272
816,c2d,c2dp1j,2010-01-12T00:00:00,12C,6012,d,1966,D.G.Gerke,"D.G. Gerke et al. Nuclear Physics v.75 (1966) 609","12C(d,p1)13C","NRA","F1090004",2603.5,4000.0,"",mb,90,77
817,c2d,c2dp1k,2013-06-28T11:59:10,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p1)13C","NRA","D0679004",1013.0,1986.0,"",mb,71.6,68
818,c2d,c2dp1l,2013-06-28T11:59:39,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p1)13C","NRA","D0679004",1024.0,1976.0,"",mb,76.9,94
819,c2d,c2dp1m,2013-06-28T12:00:13,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p1)13C","NRA","D0679004",1019.0,1958.0,"",mb,80.9,90
820,c2d,c2dp1n,2013-06-28T12:03:05,12C,6012,d,1966,M.Lambert,"M.Lambert+(1966), Jour. Comptes Rendus, Serie B, Physique, Vol.262, p.1459","12C(d,p1)13C","NRA","D0679004",1013.0,1834.0,"",mb,84.8,74
821,c2d,c2dp1o,2014-03-11T11:51:38,12C,6012,d,0,L.Csedreki,"L. Csedreki et al., Nucl. Instr. & Meth., accepted for publication.","12C(d,p1)13C","NRA","",820.0,2000.0,"",mb,135,115
